order_id,date,product,category,region,sales,profit
1649,2023-01-01,LED Monitor,Electronics,West,207.12,74.41
1980,2023-01-01,LED Monitor,Electronics,West,61.41,17.56
2138,2023-01-01,Power Bank,Electronics,North,512.25,32.13
3035,2023-01-01,Sticky Notes,Stationery,North,91.29,30.42
2978,2023-01-01,Wireless Mouse,Electronics,East,168.35,23.24
1756,2023-01-01,Jeans,Clothing,South,155.69,39.25
3136,2023-01-02,Notebook Pack,Stationery,West,224.79,85.91
1269,2023-01-02,Whiteboard,Stationery,West,228.73,52.86
2916,2023-01-02,Sneakers,Clothing,East,140.81,-2.1
1069,2023-01-02,Wireless Mouse,Electronics,South,98.78,8.78
2802,2023-01-02,Study Table,Furniture,East,129.31,4.98
1213,2023-01-02,Study Table,Furniture,South,120.74,32.36
2551,2023-01-03,Sneakers,Clothing,East,85.2,25.91
2493,2023-01-03,Wireless Mouse,Electronics,West,80.35,9.27
3090,2023-01-03,T-Shirt,Clothing,West,190.28,24.26
1884,2023-01-03,Power Bank,Electronics,East,235.66,59.3
2301,2023-01-04,Sneakers,Clothing,North,428.7,37.94
1956,2023-01-04,Sofa,Furniture,East,283.49,52.61
1834,2023-01-05,Bookshelf,Furniture,south,99.05,15.59
1722,2023-01-05,LED Monitor,Electronics,South,93.52,21.23
2025,2023-01-05,Jacket,Clothing,North,212.93,48.41
1133,2023-01-05,Wireless Mouse,Electronics,East,256.45,34.21
1421,2023-01-05,Bookshelf,Furniture,South,67.74,12.02
1952,2023-01-06,Bookshelf,Furniture,East,112.15,6.41
2619,2023-01-07,Sticky Notes,Stationery,South,362.69,71.66
3347,2023-01-07,Pen Set,Stationery,South,175.29,53.44
2252,2023-01-07,LED Monitor,Electronics,North,232.75,71.95
2688,2023-01-07,Sticky Notes,Stationery,West,250.78,27.31
2835,2023-01-07,LED Monitor,Electronics,West,323.81,41.28
1883,2023-01-07,Bookshelf,Furniture,West,247.2,42.05
1694,2023-01-08,T-Shirt,Clothing,East,180.29,30.19
3012,2023-01-08,Office Chair,Furniture,North,691.6,-19.51
3514,2023-01-08,T-Shirt,Clothing,West,148.9,14.29
2228,2023-01-08,Sticky Notes,Stationery,East,114.39,
3942,2023-01-08,Jacket,Clothing,East,70.13,14.29
1863,2023-01-08,Jacket,Clothing,South,89.45,31.25
1599,2023-01-09,Bluetooth Speaker,Electronics,East,103.74,14.35
2819,2023-01-09,Sofa,Furniture,North,286.28,8.13
1276,2023-01-09,Whiteboard,Stationery,West,173.14,59.46
2943,2023-01-10,Pen Set,Stationery,East,167.51,43.09
1719,2023-01-10,Study Table,Furniture,North,81.91,15.58
3666,2023-01-10,Sneakers,Clothing,South,193.84,26.4
1990,2023-01-10,Whiteboard,Stationery,West,120.14,29.07
3499,2023-01-10,Sneakers,Clothing,East,213.65,71.32
3170,2023-01-10,Office Chair,Furniture,South,99.9,10.96
2100,2023-01-11,Sofa,Furniture,West,248.24,10.66
2347,2023-01-11,Notebook Pack,Stationery,east,141.76,33.11
2516,2023-01-11,Whiteboard,Stationery,South,217.3,44.63
2779,2023-01-11,T-Shirt,Clothing,West,178.06,52.52
3282,2023-01-12,Sofa,Furniture,West,114.23,15.32
3681,2023-01-12,Power Bank,Electronics,West,163.83,30.32
2401,2023-01-12,Pen Set,Stationery,East,179.02,40.4
1513,2023-01-12,Bookshelf,Furniture,South,168.4,24.01
3378,2023-01-12,Bluetooth Speaker,Electronics,East,284.26,64.91
2847,2023-01-12,T-Shirt,Clothing,West,686.13,203.53
2987,2023-01-12,Sneakers,Clothing,North,240.08,44.92
1688,2023-01-12,T-Shirt,Clothing,South,132.6,27.89
3099,2023-01-12,Power Bank,Electronics,West,234.1,38.09
3334,2023-01-12,Wireless Mouse,Electronics,South,99.9,12.75
1994,2023-01-13,Study Table,Furniture,South,140.54,30.13
3673,2023-01-13,Jeans,Clothing,East,297.04,83.26
3455,2023-01-13,Bookshelf,Furniture,West,638.31,115.48
2846,2023-01-14,LED Monitor,Electronics,North,281.01,74.75
3683,2023-01-14,Bookshelf,Furniture,West,288.25,36.8
1054,2023-01-14,Whiteboard,Stationery,East,69.46,19.51
2924,2023-01-14,Sticky Notes,Stationery,South,115.62,57.87
2084,2023-01-15,T-Shirt,Clothing,South,112.41,31.56
1098,2023-01-15,Pen Set,Stationery,South,175.11,37.53
1890,2023-01-15,Wireless Mouse,Electronics,West,159.19,43.67
2060,2023-01-15,Power Bank,Electronics,West,299.14,87.94
1139,2023-01-15,Office Chair,Furniture,North,120.53,6.13
3978,2023-01-16,Notebook Pack,Stationery,East,111.45,24.58
2463,2023-01-16,Pen Set,Stationery,West,434.3,82.8
2423,2023-01-16,Bluetooth Speaker,Electronics,South,268.46,72.63
1491,2023-01-16,Pen Set,Stationery,West,205.54,46.11
1341,2023-01-17,Study Table,Furniture,North,163.24,36.47
2377,2023-01-17,Jacket,Clothing,South,134.02,13.96
3489,2023-01-17,Bookshelf,Furniture,East,129.53,17.83
2670,2023-01-17,Jacket,Clothing,South,130.88,27.49
2315,2023-01-17,Notebook Pack,Stationery,North,244.65,58.54
2644,2023-01-17,Office Chair,Furniture,North,146.66,4.77
3525,2023-01-17,Power Bank,Electronics,West,181.44,8.98
2397,2023-01-17,Study Table,Furniture,West,163.98,16.84
2205,2023-01-18,Sofa,Furniture,west,180.83,13.1
1366,2023-01-18,Sofa,Furniture,North,241.97,52.35
3738,2023-01-19,Jacket,Clothing,North,556.24,205.58
2204,2023-01-19,Bookshelf,Furniture,West,258.71,43.08
1560,2023-01-19,Bluetooth Speaker,Electronics,West,123.13,30.21
3642,2023-01-19,Office Chair,Furniture,South,226.4,30.35
3063,2023-01-19,Wireless Mouse,Electronics,South,73.9,16.34
2976,2023-01-20,Notebook Pack,Stationery,West,229.21,68.48
2543,2023-01-20,Sneakers,Clothing,West,189.25,32.89
1391,2023-01-20,Wireless Mouse,Electronics,West,433.75,77.16
3708,2023-01-20,Jeans,Clothing,South,74.61,18.84
3688,2023-01-20,LED Monitor,Electronics,East,542.27,21.04
3698,2023-01-20,LED Monitor,Electronics,West,109.18,18.09
3483,2023-01-21,Sneakers,Clothing,South,386.06,45.08
2908,2023-01-21,Jeans,Clothing,North,79.8,17.33
1048,2023-01-21,LED Monitor,Electronics,North,398.0,60.03
3848,2023-01-21,LED Monitor,Electronics,North,304.21,60.05
2717,2023-01-21,Notebook Pack,Stationery,North,156.74,16.77
1007,2023-01-21,Wireless Mouse,Electronics,East,64.27,6.04
3110,2023-01-21,Jeans,Clothing,East,436.33,76.18
2841,2023-01-22,Whiteboard,Stationery,North,411.06,117.67
1320,2023-01-22,Jeans,Clothing,South,262.52,57.02
2674,2023-01-22,Sticky Notes,Stationery,East,128.11,41.27
1030,2023-01-22,T-Shirt,Clothing,West,309.04,51.12
3886,2023-01-22,Notebook Pack,Stationery,North,134.26,20.7
2710,2023-01-22,Jacket,Clothing,East,155.95,55.5
3643,2023-01-23,Bluetooth Speaker,Electronics,North,96.63,6.85
1746,2023-01-23,Wireless Mouse,Electronics,North,644.52,135.51
2105,2023-01-23,Jacket,Clothing,East,273.32,65.59
1481,2023-01-23,Jacket,Clothing,West,329.76,42.24
2042,2023-01-23,Study Table,Furniture,South,253.74,7.78
2880,2023-01-24,Power Bank,Electronics,West,90.96,10.9
1906,2023-01-25,Jeans,Clothing,South,473.15,113.22
2383,2023-01-25,Office Chair,Furniture,East,212.81,14.2
3369,2023-01-25,Office Chair,Furniture,West,74.32,5.25
1578,2023-01-25,LED Monitor,Electronics,West,106.34,13.12
2165,2023-01-25,T-Shirt,Clothing,West,440.05,51.62
1861,2023-01-26,Sticky Notes,Stationery,East,524.2,88.93
3168,2023-01-26,Sofa,Furniture,West,259.86,50.12
1966,2023-01-26,Pen Set,Stationery,East,430.01,152.63
3923,2023-01-26,Whiteboard,Stationery,West,169.68,15.3
2742,2023-01-27,Sneakers,Clothing,North,179.68,64.09
2323,2023-01-27,T-Shirt,Clothing,North,266.88,50.8
1328,2023-01-27,Bluetooth Speaker,Electronics,South,171.38,20.56
1164,2023-01-28,Bluetooth Speaker,Electronics,North,136.32,29.84
1874,2023-01-28,Sofa,Furniture,East,279.23,-3.45
1117,2023-01-28,Bluetooth Speaker,Electronics,East,71.9,14.95
3872,2023-01-28,Sofa,Furniture,North,184.5,-0.58
2930,2023-01-28,Sneakers,Clothing,East,226.07,10.78
1894,2023-01-28,T-Shirt,Clothing,North,276.26,101.08
2689,2023-01-29,Study Table,Furniture,West,75.37,15.62
3497,2023-01-29,Notebook Pack,Stationery,South,124.84,36.35
2344,2023-01-29,Notebook Pack,Stationery,North,333.24,57.57
2304,2023-01-29,Jeans,Clothing,West,105.33,18.52
2478,2023-01-29,Jacket,Clothing,North,148.5,13.76
1613,2023-01-29,Sticky Notes,Stationery,North,391.68,103.18
2126,2023-01-29,LED Monitor,Electronics,South,165.78,49.28
3645,2023-01-30,Bluetooth Speaker,Electronics,West,377.8,101.73
2622,2023-01-31,Study Table,Furniture,East,188.76,19.38
3905,2023-02-01,Office Chair,Furniture,South,59.31,4.36
2195,2023-02-01,Sneakers,Clothing,West,187.65,20.58
1315,2023-02-02,Study Table,Furniture,South,200.21,15.77
2690,2023-02-02,Notebook Pack,Stationery,East,395.22,119.77
1120,2023-02-02,Jacket,Clothing,East,135.11,19.86
1917,2023-02-03,Jeans,Clothing,South,87.35,15.28
1763,2023-02-03,Sticky Notes,Stationery,North,266.22,38.59
2314,2023-02-03,Whiteboard,Stationery,West,241.09,61.64
2980,2023-02-04,Sneakers,Clothing,West,163.27,26.29
1064,2023-02-04,T-Shirt,Clothing,West,90.11,16.87
2872,2023-02-04,Sneakers,Clothing,East,288.73,36.88
1518,2023-02-04,Office Chair,Furniture,South,150.82,24.36
3154,2023-02-05,Pen Set,Stationery,North,75.99,15.78
1153,2023-02-05,Study Table,Furniture,North,84.01,13.83
1389,2023-02-05,T-Shirt,Clothing,South,128.29,30.36
3235,2023-02-05,Jeans,Clothing,East,148.16,19.34
1274,2023-02-06,Bluetooth Speaker,Electronics,East,91.29,17.25
1547,2023-02-06,Bluetooth Speaker,Electronics,West,252.92,68.4
2582,2023-02-06,Study Table,Furniture,South,263.6,30.72
1350,2023-02-06,Sticky Notes,Stationery,West,204.56,
2662,2023-02-06,Office Chair,Furniture,West,110.14,3.08
1322,2023-02-07,LED Monitor,Electronics,East,93.99,6.57
2576,2023-02-07,Wireless Mouse,Electronics,North,181.14,61.88
3705,2023-02-07,Bookshelf,Furniture,North,187.71,23.61
1637,2023-02-08,Office Chair,Furniture,North,94.94,26.06
2703,2023-02-08,Jacket,Clothing,South,237.44,50.51
2455,2023-02-08,Bookshelf,Furniture,North,168.15,5.6
2384,2023-02-08,Notebook Pack,Stationery,North,211.04,34.57
2051,2023-02-08,Pen Set,Stationery,South,298.46,12.66
1382,2023-02-08,Pen Set,Stationery,South,302.81,53.46
2998,2023-02-08,Sneakers,Clothing,South,71.45,6.26
3147,2023-02-08,Whiteboard,Stationery,North,97.14,22.05
1896,2023-02-08,Sneakers,Clothing,South,170.2,50.71
1585,2023-02-08,Wireless Mouse,Electronics,East,97.97,17.63
3599,2023-02-08,Whiteboard,Stationery,South,162.51,13.62
2477,2023-02-08,Power Bank,Electronics,West,150.6,32.64
2587,2023-02-09,T-Shirt,Clothing,North,133.33,15.19
1948,2023-02-09,Bookshelf,Furniture,South,112.06,6.21
3964,2023-02-09,Office Chair,Furniture,West,86.25,7.99
2597,2023-02-09,LED Monitor,Electronics,South,114.06,19.07
2596,2023-02-09,Notebook Pack,Stationery,East,316.96,19.34
2570,2023-02-09,Power Bank,Electronics,North,177.39,58.6
1704,2023-02-10,Bluetooth Speaker,Electronics,North,252.32,24.29
1096,2023-02-10,Jacket,Clothing,West,220.3,47.46
2313,2023-02-10,Power Bank,Electronics,South,434.48,86.72
1116,2023-02-10,LED Monitor,Electronics,South,50.39,18.76
2311,2023-02-11,Office Chair,Furniture,West,134.56,29.91
2382,2023-02-11,Study Table,Furniture,East,328.59,35.8
1588,2023-02-11,Study Table,Furniture,East,25.08,-0.66
3337,2023-02-11,T-Shirt,Clothing,West,29.94,-0.01
2032,2023-02-11,Study Table,Furniture,East,299.72,39.63
1509,2023-02-12,Notebook Pack,Stationery,West,76.84,11.91
3873,2023-02-12,T-Shirt,Clothing,South,142.21,27.5
1815,2023-02-12,Bluetooth Speaker,Electronics,South,212.64,63.64
3389,2023-02-12,T-Shirt,Clothing,West,262.53,92.38
3104,2023-02-12,Pen Set,Stationery,North,248.25,63.64
3518,2023-02-12,Power Bank,Electronics,West,73.47,6.1
3631,2023-02-13,Sneakers,Clothing,East,361.65,49.86
2396,2023-02-13,Sticky Notes,Stationery,South,137.25,30.97
3927,2023-02-13,T-Shirt,Clothing,East,145.41,23.98
1346,2023-02-15,Study Table,Furniture,North,145.66,31.32
2791,2023-02-15,T-Shirt,Clothing,North,132.17,37.41
2640,2023-02-15,Study Table,Furniture,East,113.56,17.68
1845,2023-02-15,Jacket,Clothing,East,112.62,13.8
2421,2023-02-16,Study Table,Furniture,South,237.18,42.34
1676,2023-02-16,Study Table,Furniture,West,165.45,33.47
1851,2023-02-16,Bluetooth Speaker,Electronics,North,199.94,41.22
3757,2023-02-16,Power Bank,Electronics,East,209.48,46.71
2089,2023-02-16,Sofa,Furniture,North,113.18,9.85
1425,2023-02-16,Whiteboard,Stationery,North,38.76,8.71
1468,2023-02-16,LED Monitor,Electronics,West,245.69,60.1
2538,2023-02-16,Pen Set,Stationery,North,61.19,19.09
1858,2023-02-17,Whiteboard,Stationery,East,91.64,25.21
1121,2023-02-17,LED Monitor,Electronics,South,54.66,1.69
3178,2023-02-18,Power Bank,Electronics,West,223.46,25.94
3783,2023-02-18,Jacket,Clothing,North,735.72,174.79
1339,2023-02-18,Bookshelf,Furniture,East,185.81,-7.22
2177,2023-02-18,Study Table,Furniture,North,115.63,19.09
3771,2023-02-19,Jeans,Clothing,East,188.47,38.41
3182,2023-02-19,Jacket,Clothing,West,207.18,64.45
3118,2023-02-20,Office Chair,Furniture,West,122.05,21.12
1832,2023-02-20,Power Bank,Electronics,East,95.58,11.55
2125,2023-02-20,Jacket,Clothing,North,264.77,48.82
